id_cliente,manteve_contrato
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,0
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,0
297,0
298,1
299,0
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,1
324,0
325,0
326,0
327,1
328,1
329,1
330,0
331,0
332,1
333,1
334,1
335,1
336,0
337,0
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,0
430,1
431,0
432,0
433,1
434,0
435,1
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,1
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,1
465,1
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,1
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,1
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,1
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,0
522,1
523,1
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,0
544,0
545,1
546,1
547,0
548,1
549,0
550,0
551,1
552,1
553,1
554,1
555,0
556,1
557,0
558,0
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,0
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,0
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,0
598,1
599,1
